,elevation nodes,vegetation
309,"(0.0, 0.15)","(0.0, 0.18)"
310,"(0.0, 0.15)","(0.0, 0.18)"
311,"(0.0, 0.15)","(0.0, 0.18)"
312,"(0.0, 0.15)","(0.0, 0.18)"
313,"(0.0, 0.15)","(0.0, 0.18)"
314,"(0.0, 0.15)","(0.0, 0.18)"
315,"(0.0, 0.15)","(0.0, 0.18)"
316,"(0.0, 0.15)","(0.0, 0.18)"
317,"(0.0, 0.15)","(0.0, 0.18)"
318,"(0.0, 0.15)","(0.0, 0.18)"
319,"(0.0, 0.15)","(0.0, 0.18)"
320,"(0.0, 0.15)","(0.0, 0.18)"
321,"(0.0, 0.15)","(0.0, 0.18)"
322,"(0.0, 0.15)","(0.0, 0.18)"
323,"(0.0, 0.15)","(0.0, 0.18)"
324,"(0.0, 0.15)","(0.0, 0.18)"
325,"(0.0, 0.15)","(0.0, 0.18)"
326,"(0.0, 0.15)","(0.0, 0.18)"
327,"(0.0, 0.15)","(0.0, 0.18)"
328,"(0.0, 0.15)","(0.0, 0.18)"
329,"(0.0, 0.15)","(0.0, 0.18)"
330,"(0.0, 0.15)","(0.0, 0.18)"
331,"(0.0, 0.15)","(0.0, 0.18)"
332,"(0.0, 0.15)","(0.0, 0.18)"
333,"(0.0, 0.15)","(0.0, 0.18)"
334,"(0.0, 0.15)","(0.0, 0.18)"
335,"(0.0, 0.15)","(0.0, 0.18)"
336,"(0.0, 0.15)","(0.0, 0.18)"
337,"(0.0, 0.15)","(0.0, 0.18)"
338,"(0.0, 0.15)","(0.0, 0.18)"
339,"(0.0, 0.15)","(0.0, 0.18)"
340,"(0.0, 0.15)","(0.0, 0.18)"
341,"(0.0, 0.15)","(0.0, 0.18)"
342,"(0.0, 0.15)","(0.0, 0.18)"
343,"(0.0, 0.15)","(0.0, 0.18)"
344,"(0.0, 0.15)","(0.0, 0.18)"
345,"(0.0, 0.15)","(0.0, 0.18)"
346,"(0.0, 0.15)","(0.0, 0.18)"
347,"(0.0, 0.15)","(0.0, 0.18)"
348,"(0.0, 0.15)","(0.0, 0.18)"
349,"(0.0, 0.15)","(0.0, 0.18)"
350,"(0.0, 0.15)","(0.0, 0.18)"
351,"(0.0, 0.15)","(0.0, 0.18)"
352,"(0.0, 0.15)","(0.0, 0.18)"
353,"(0.0, 0.15)","(0.0, 0.18)"
354,"(0.0, 0.15)","(0.0, 0.18)"
355,"(0.0, 0.15)","(0.0, 0.18)"
356,"(0.0, 0.15)","(0.0, 0.18)"
357,"(0.0, 0.15)","(0.0, 0.18)"
358,"(0.0, 0.15)","(0.0, 0.18)"
359,"(0.0, 0.15)","(0.0, 0.18)"
360,"(0.0, 0.15)","(0.0, 0.18)"
361,"(0.0, 0.15)","(0.0, 0.18)"
362,"(0.0, 0.15)","(0.0, 0.18)"
363,"(0.0, 0.15)","(0.0, 0.18)"
364,"(0.0, 0.15)","(0.0, 0.18)"
365,"(0.0, 0.15)","(0.0, 0.18)"
366,"(0.0, 0.15)","(0.0, 0.18)"
367,"(0.0, 0.15)","(0.0, 0.18)"
368,"(0.0, 0.15)","(0.0, 0.18)"
369,"(0.0, 0.15)","(0.0, 0.18)"
370,"(0.0, 0.15)","(0.0, 0.18)"
371,"(0.0, 0.15)","(0.0, 0.18)"
372,"(0.0, 0.15)","(0.0, 0.18)"
373,"(0.0, 0.15)","(0.0, 0.18)"
374,"(0.0, 0.15)","(0.0, 0.18)"
375,"(0.0, 0.15)","(0.0, 0.18)"
376,"(0.0, 0.15)","(0.0, 0.18)"
377,"(0.0, 0.15)","(0.0, 0.18)"
378,"(0.0, 0.15)","(0.0, 0.18)"
379,"(0.0, 0.15)","(0.0, 0.18)"
380,"(0.0, 0.15)","(0.0, 0.18)"
381,"(0.0, 0.15)","(0.0, 0.18)"
382,"(0.0, 0.15)","(0.0, 0.18)"
383,"(0.0, 0.15)","(0.0, 0.18)"
