,Unnamed: 0,2023-03-14 14:00:00+00:00,2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,2023-03-14 20:00:00+00:00,2023-03-14 21:00:00+00:00
93,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
94,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
95,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
96,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
97,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
98,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
99,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
100,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
101,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
102,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
103,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
104,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
105,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
106,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
107,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
108,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
109,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
110,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
111,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
112,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
113,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
114,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
115,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
116,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
117,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
118,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
119,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
120,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
121,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
122,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
123,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
124,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
125,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
126,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
127,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
128,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
129,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
130,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
131,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
132,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
133,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
134,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
135,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
136,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
137,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
138,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
139,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
140,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
141,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
142,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
143,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
144,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
145,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
146,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
147,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
148,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
149,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
150,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
151,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
152,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
153,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
154,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
155,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
156,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
157,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
158,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
159,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
160,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
161,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
162,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
163,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
164,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
165,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
166,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
167,,0.518,0.4391,0.3378,0.32889999999999997,0.2532,0.0006,0.0012000000000000001,0.0012
168,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
169,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
170,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
171,,0.5716,0.5288,0.5292,0.5104,1.0344,0.0,0.0,0.0
