,elevation edges,length
700,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
701,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
702,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
703,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
704,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
705,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
706,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
707,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
708,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
709,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
710,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
711,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
712,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
713,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
714,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
715,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
716,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
717,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
718,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
719,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
720,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
721,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
722,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
723,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
724,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
725,"(14.05317991849284, 16.375071555348967)","(12.296532428681234, 14.386687610930347)"
726,"(14.137499954222807, 16.462744960443846)","(12.370387459944954, 14.469651840388364)"
727,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
728,"(14.05317991849284, 16.375071555348967)","(12.296532428681234, 14.386687610930347)"
729,"(14.05317991849284, 16.375071555348967)","(12.296532428681234, 14.386687610930347)"
730,"(14.883619099994087, 18.841951649159256)","(13.023166712494826, 16.61600769301435)"
731,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
732,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
733,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
734,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
735,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
736,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
737,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
738,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
739,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
740,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
741,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
742,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
743,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
744,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
745,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
746,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
747,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
748,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
749,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
750,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
751,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
752,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
753,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
754,"(14.199444965212749, 16.796007748350924)","(12.424589344561154, 14.829256779807059)"
755,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
756,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
757,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
758,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
759,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
760,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
761,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
762,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
763,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
764,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
765,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
